,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Category_i,Genres_i,NameSize
113,4.4,74.0,2900000.0,10000,0,0.0,0,2,4,6
114,4.0,113715.0,2900000.0,10000000,0,0.0,0,2,4,5
115,4.1,3595.0,2900000.0,500000,0,0.0,0,2,4,2
116,4.1,9315.0,2600000.0,1000000,0,0.0,0,2,4,6
117,4.4,75.0,4200000.0,50000,0,0.0,0,2,4,7
118,4.6,38.0,7100000.0,10000,0,0.0,0,2,4,3
119,4.5,26834.0,57000000.0,1000000,0,0.0,0,2,4,8
120,3.9,2277.0,22000000.0,500000,0,0.0,0,2,4,7
121,4.4,2280.0,24000000.0,500000,0,0.0,0,2,4,4
122,4.6,184.0,21000000.0,10000,0,0.0,0,2,4,3
123,3.8,9.0,3400000.0,5000,0,0.0,0,2,4,2
124,4.0,364.0,6400000.0,100000,0,0.0,0,2,4,2
125,4.3,18.0,3200000.0,5000,0,0.0,0,2,4,5
126,4.5,473.0,8199999.999999999,100000,0,0.0,3,2,4,5
127,4.1,66.0,2900000.0,10000,0,0.0,0,2,4,6
128,3.7,3871.0,23000000.0,1000000,0,0.0,0,2,4,2
129,4.7,257.0,4600000.0,50000,0,0.0,0,2,4,4
130,4.2,62.0,3100000.0,10000,0,0.0,0,2,4,3
131,4.6,2914724.0,3100000.0,100000000,0,0.0,1,3,5,4
132,4.5,1857.0,4900000.0,50000,0,0.0,0,3,5,7
133,4.6,4478.0,9500000.0,100000,0,0.0,2,3,5,6
134,4.4,577550.0,9500000.0,10000000,0,0.0,0,3,5,1
135,4.2,814080.0,9500000.0,100000000,0,0.0,1,3,5,2
136,4.5,246315.0,9500000.0,10000000,0,0.0,0,3,5,2
137,4.5,454060.0,9500000.0,10000000,0,0.0,0,3,5,3
138,4.5,155446.0,9500000.0,10000000,0,0.0,1,3,5,5
139,4.5,418.0,4200000.0,100000,0,0.0,0,3,5,4
140,4.4,22486.0,5400000.0,1000000,0,0.0,1,3,5,2
141,4.5,203130.0,5400000.0,10000000,0,0.0,0,3,5,4
142,4.6,1435.0,2800000.0,500000,0,0.0,0,3,5,4
143,4.8,116507.0,5000000.0,1000000,0,0.0,1,3,5,7
144,3.9,1433233.0,5000000.0,1000000000,0,0.0,1,3,5,3
145,4.6,90468.0,5900000.0,5000000,0,0.0,0,3,5,5
146,4.2,860.0,13000000.0,100000,0,0.0,0,3,5,3
147,4.1,363934.0,7100000.0,10000000,0,0.0,0,3,5,6
148,4.7,967.0,6700000.0,500000,0,0.0,0,3,5,5
149,4.2,87873.0,6700000.0,10000000,0,0.0,1,3,5,3
150,4.3,17506.0,17000000.0,1000000,0,0.0,0,3,5,2
151,3.3,1862.0,19000000.0,1000000,0,0.0,0,3,5,3
152,4.6,2084.0,6700000.0,500000,0,0.0,0,3,5,6
153,4.8,47303.0,21000000.0,1000000,0,0.0,0,3,5,5
154,4.7,19080.0,21000000.0,500000,0,0.0,0,3,5,5
155,4.1,85842.0,37000000.0,5000000,0,0.0,0,3,5,2
156,4.6,7831.0,15000000.0,100000,0,0.0,1,3,5,3
157,4.1,91615.0,23000000.0,5000000,0,0.0,3,3,5,3
158,4.6,4620.0,19000000.0,500000,0,0.0,0,3,5,4
159,4.7,21336.0,23000000.0,1000000,0,0.0,0,3,5,6
160,4.5,26875.0,73000000.0,500000,0,0.0,0,3,5,3
161,3.9,1778.0,4900000.0,500000,0,0.0,3,3,5,1
162,4.4,2709.0,6800000.0,1000000,0,0.0,0,3,5,3
163,4.3,64513.0,6800000.0,5000000,0,0.0,0,3,5,1
164,4.2,8342.0,6800000.0,10000000,0,0.0,0,3,5,2
165,4.5,527.0,2900000.0,100000,0,0.0,0,3,5,4
166,4.4,1322.0,3500000.0,100000,0,0.0,0,3,5,7
167,3.4,1680.0,4000000.0,100000,0,0.0,0,3,5,3
168,4.9,2739.0,21000000.0,50000,0,0.0,0,3,5,8
169,4.6,1065.0,2300000.0,500000,0,0.0,0,3,5,9
170,4.4,233757.0,2300000.0,10000000,0,0.0,0,3,5,2
171,4.4,8788.0,10000000.0,1000000,0,0.0,0,3,5,2
172,4.4,51269.0,6100000.0,1000000,0,0.0,0,3,5,3
173,4.4,30105.0,2100000.0,1000000,0,0.0,0,3,5,4
174,3.5,156.0,42000000.0,500000,0,0.0,0,3,5,2
175,4.4,341157.0,30000000.0,10000000,0,0.0,2,3,5,4
176,4.1,16129.0,30000000.0,10000000,0,0.0,0,4,6,4
177,4.3,674730.0,30000000.0,50000000,0,0.0,0,4,6,3
178,4.4,1254730.0,30000000.0,10000000,0,0.0,0,4,6,2
179,4.3,85185.0,29000000.0,5000000,0,0.0,0,4,6,3
